,Lat,Lon,SMS,SM1,SDS,SD1,,
8783,34.00567,-118.43546,1.897,1.044,1.265,0.696,,
4838,34.00311,-118.35367,1.898,1.036,1.266,0.69,,
8335,34.0071,-118.42858,1.898,1.048,1.266,0.698,,
8367,34.00705,-118.42913,1.898,1.048,1.265,0.698,,
8441,34.00708,-118.43009,1.898,1.048,1.265,0.699,,
11595,34.21268,-118.53704,1.898,0.919,1.266,0.613,,
6347,34.18453,-118.38465,1.899,1.025,1.266,0.683,,
8793,34.00587,-118.43562,1.899,1.045,1.266,0.697,,
11762,34.21965,-118.5748,1.899,0.916,1.266,0.611,,
11763,34.21973,-118.57515,1.899,0.916,1.266,0.611,,
11934,34.22406,-118.59952,1.899,0.923,1.266,0.615,,
4830,34.00344,-118.35335,1.9,1.037,1.267,0.691,,
5155,34.17867,-118.36301,1.9,1.013,1.266,0.675,,
5731,34.18697,-118.37668,1.9,1.047,1.266,0.698,,
8758,34.0061,-118.43507,1.9,1.046,1.267,0.697,,
11760,34.21967,-118.57443,1.9,0.917,1.267,0.611,,
5655,34.18638,-118.37505,1.901,1.046,1.267,0.697,,
6333,34.18701,-118.38435,1.901,1.032,1.267,0.688,,
11574,34.21272,-118.53644,1.901,0.92,1.267,0.613,,
11758,34.21966,-118.57405,1.901,0.917,1.268,0.612,,
3953,34.0002,-118.32778,1.902,1.031,1.268,0.687,,
4803,34.00372,-118.35306,1.902,1.037,1.268,0.692,,
6016,34.17607,-118.38001,1.902,0.993,1.268,0.662,,
6353,34.18696,-118.38469,1.902,1.032,1.268,0.688,,
4794,34.004,-118.35278,1.903,1.038,1.269,0.692,,
4795,34.00383,-118.35289,1.903,1.038,1.268,0.692,,
6002,34.17602,-118.37982,1.903,0.993,1.269,0.662,,
8241,34.00742,-118.42594,1.903,1.048,1.269,0.699,,
8381,34.00746,-118.4293,1.903,1.05,1.269,0.7,,
8446,34.00735,-118.4303,1.903,1.05,1.269,0.7,,
3783,33.99985,-118.32278,1.904,1.03,1.269,0.687,,
4784,34.00414,-118.35264,1.904,1.039,1.27,0.692,,
6373,34.18709,-118.38518,1.904,1.031,1.27,0.688,,
6376,34.18518,-118.38528,1.904,1.027,1.269,0.685,,
6493,34.18995,-118.38863,1.904,1.022,1.269,0.682,,
6504,34.19005,-118.38912,1.904,1.021,1.269,0.68,,
6527,34.18984,-118.38983,1.904,1.017,1.269,0.678,,
8236,34.00749,-118.4258,1.904,1.048,1.269,0.699,,
8289,34.0075,-118.42732,1.904,1.049,1.269,0.699,,
8312,34.00755,-118.42794,1.904,1.049,1.269,0.7,,
11576,34.18161,-118.53646,1.904,0.999,1.269,0.666,,
4780,34.00427,-118.3525,1.905,1.039,1.27,0.693,,
5697,34.17644,-118.37582,1.905,0.99,1.27,0.66,,
8222,34.00764,-118.42552,1.905,1.049,1.27,0.699,,
8231,34.00757,-118.42566,1.905,1.049,1.27,0.699,,
3622,33.9998,-118.31962,1.906,1.03,1.271,0.687,,
3640,33.99987,-118.31999,1.906,1.03,1.271,0.687,,
4765,34.00442,-118.35236,1.906,1.039,1.271,0.693,,
5428,34.18514,-118.36997,1.906,1.047,1.271,0.698,,
6435,34.18935,-118.38693,1.906,1.03,1.271,0.687,,
8450,34.00747,-118.43039,1.906,1.05,1.27,0.7,,
11310,34.20409,-118.5005,1.906,0.947,1.271,0.631,,
11756,34.21976,-118.57276,1.906,0.919,1.271,0.613,,
3765,34.00029,-118.32224,1.907,1.031,1.271,0.687,,
4747,34.00466,-118.35201,1.907,1.04,1.272,0.693,,
4981,34.18138,-118.3592,1.907,1.045,1.271,0.696,,
5016,34.182,-118.36111,1.907,1.045,1.271,0.696,,
6388,34.18061,-118.38572,1.907,1.02,1.272,0.68,,
6404,34.18769,-118.38612,1.907,1.031,1.272,0.687,,
846,33.984,-118.27024,1.908,1.021,1.272,0.681,,
5427,34.18532,-118.36997,1.908,1.049,1.272,0.699,,
5866,34.17594,-118.37864,1.908,0.993,1.272,0.662,,
6405,34.18742,-118.38612,1.908,1.031,1.272,0.687,,
6534,34.18987,-118.39032,1.908,1.019,1.272,0.679,,
8798,34.00711,-118.4357,1.908,1.051,1.272,0.7,,
11556,34.1814,-118.5355,1.908,1.001,1.272,0.667,,
5539,34.1864,-118.37314,1.909,1.052,1.273,0.701,,
6395,34.18081,-118.38584,1.909,1.021,1.273,0.681,,
6427,34.18797,-118.38671,1.909,1.03,1.272,0.687,,
6431,34.1881,-118.38682,1.909,1.03,1.272,0.687,,
6498,34.19051,-118.38877,1.909,1.027,1.273,0.685,,
8301,34.00794,-118.42767,1.909,1.051,1.273,0.701,,
8444,34.00778,-118.43024,1.909,1.051,1.273,0.701,,
4692,34.00517,-118.35106,1.91,1.042,1.274,0.694,,
5746,34.17605,-118.37714,1.91,0.992,1.273,0.661,,
8407,34.00796,-118.42983,1.91,1.052,1.273,0.701,,
5426,34.1855,-118.36997,1.911,1.051,1.274,0.701,,
6503,34.19075,-118.38905,1.911,1.028,1.274,0.686,,
845,33.9849,-118.27024,1.912,1.023,1.274,0.682,,
1087,33.98789,-118.27828,1.912,1.025,1.275,0.683,,
4618,34.00538,-118.34976,1.912,1.042,1.275,0.695,,
4639,34.00537,-118.3502,1.912,1.042,1.275,0.695,,
4659,34.00537,-118.35054,1.912,1.042,1.275,0.695,,
4059,34.00261,-118.33164,1.913,1.037,1.275,0.691,,
4496,34.00499,-118.34668,1.913,1.042,1.275,0.694,,
4513,34.00507,-118.34706,1.913,1.042,1.275,0.695,,
4517,34.00511,-118.34725,1.913,1.042,1.275,0.695,,
4522,34.00512,-118.34754,1.913,1.042,1.275,0.695,,
4552,34.00529,-118.34823,1.913,1.042,1.275,0.695,,
4559,34.00532,-118.34844,1.913,1.042,1.275,0.695,,
4571,34.00526,-118.34867,1.913,1.042,1.275,0.695,,
5106,34.17825,-118.36237,1.913,1.015,1.275,0.676,,
5425,34.18569,-118.36997,1.913,1.053,1.276,0.702,,
6356,34.17858,-118.38479,1.913,1.018,1.275,0.679,,
6383,34.19049,-118.38547,1.913,1.042,1.275,0.695,,
6494,34.1879,-118.38869,1.913,1.026,1.276,0.684,,
6512,34.19096,-118.38929,1.913,1.029,1.275,0.686,,
4438,34.00494,-118.34514,1.914,1.042,1.276,0.694,,
4441,34.00494,-118.34534,1.914,1.042,1.276,0.694,,
6391,34.19059,-118.38575,1.914,1.042,1.276,0.695,,
6420,34.1833,-118.38648,1.914,1.027,1.276,0.685,,
4385,34.00494,-118.34356,1.915,1.042,1.277,0.695,,
4389,34.0049,-118.34375,1.915,1.042,1.277,0.695,,
4403,34.00494,-118.34415,1.915,1.042,1.277,0.695,,
6546,34.18986,-118.39075,1.915,1.021,1.276,0.681,,
11752,34.21966,-118.56902,1.915,0.924,1.277,0.616,,
5054,34.17822,-118.36189,1.916,1.016,1.277,0.677,,
6528,34.1879,-118.38987,1.916,1.023,1.277,0.682,,
11567,34.21355,-118.53576,1.916,0.925,1.277,0.617,,
11750,34.21968,-118.56864,1.916,0.924,1.278,0.616,,
4330,34.00498,-118.34226,1.917,1.042,1.278,0.695,,
6423,34.18207,-118.3866,1.917,1.027,1.278,0.684,,
8076,34.00932,-118.42269,1.917,1.055,1.278,0.703,,
8901,34.00816,-118.43742,1.917,1.056,1.278,0.704,,
8907,34.00827,-118.4375,1.917,1.057,1.278,0.704,,
9406,34.00762,-118.44678,1.917,1.058,1.278,0.705,,
12054,34.16487,-118.62455,1.917,1.025,1.278,0.684,,
4304,34.00504,-118.34149,1.918,1.042,1.278,0.695,,
4313,34.00507,-118.34182,1.918,1.042,1.278,0.695,,
5107,34.17805,-118.36238,1.918,1.014,1.278,0.676,,
5424,34.186,-118.36997,1.918,1.057,1.278,0.704,,
6507,34.19142,-118.38919,1.918,1.035,1.278,0.69,,
8224,34.00918,-118.42559,1.918,1.055,1.278,0.704,,
11747,34.21969,-118.56797,1.918,0.925,1.279,0.617,,
11749,34.21976,-118.5683,1.918,0.925,1.279,0.616,,
4296,34.00523,-118.34116,1.919,1.043,1.279,0.695,,
8168,34.00949,-118.42401,1.919,1.056,1.279,0.704,,
8172,34.00941,-118.42415,1.919,1.056,1.279,0.704,,
8232,34.00941,-118.42572,1.919,1.057,1.28,0.704,,
12053,34.16537,-118.623,1.919,1.027,1.28,0.684,,
6021,34.17518,-118.38005,1.92,0.997,1.28,0.664,,
8142,34.00972,-118.4236,1.92,1.057,1.28,0.705,,
8145,34.00964,-118.42374,1.92,1.057,1.28,0.704,,
8162,34.00957,-118.42388,1.92,1.056,1.28,0.704,,
8237,34.00953,-118.42582,1.92,1.057,1.28,0.705,,
8927,34.00864,-118.43776,1.92,1.058,1.28,0.706,,
11745,34.21976,-118.56763,1.92,0.926,1.28,0.617,,
11930,34.22535,-118.59918,1.92,0.93,1.28,0.62,,
4295,34.0057,-118.34095,1.921,1.044,1.281,0.696,,
5055,34.17802,-118.36191,1.921,1.016,1.28,0.677,,
6355,34.178,-118.38478,1.921,1.02,1.281,0.68,,
6361,34.19103,-118.38482,1.921,1.051,1.281,0.701,,
6425,34.18022,-118.38665,1.921,1.026,1.28,0.684,,
8136,34.00988,-118.42333,1.921,1.058,1.281,0.705,,
8138,34.0098,-118.42347,1.921,1.057,1.281,0.705,,
8240,34.00968,-118.42592,1.921,1.058,1.281,0.705,,
11291,34.19439,-118.49637,1.921,0.999,1.281,0.666,,
11743,34.21977,-118.56728,1.921,0.926,1.281,0.617,,
3936,34.00368,-118.3268,1.922,1.04,1.282,0.693,,
6428,34.18045,-118.38676,1.922,1.027,1.281,0.684,,
6489,34.18597,-118.38856,1.922,1.029,1.281,0.686,,
8124,34.01003,-118.42306,1.922,1.058,1.282,0.705,,
8129,34.00995,-118.4232,1.922,1.058,1.281,0.705,,
11741,34.21977,-118.56694,1.922,0.926,1.282,0.618,,
1643,33.99502,-118.28871,1.923,1.031,1.282,0.687,,
3840,34.00341,-118.32404,1.923,1.04,1.282,0.693,,
3890,34.00348,-118.3251,1.923,1.04,1.282,0.693,,
3893,34.0035,-118.32519,1.923,1.04,1.282,0.693,,
5702,34.1756,-118.37599,1.923,0.992,1.282,0.662,,
6325,34.19108,-118.38418,1.923,1.055,1.282,0.703,,
8114,34.01011,-118.42292,1.923,1.058,1.282,0.706,,
11583,34.21423,-118.53664,1.923,0.929,1.282,0.619,,
6360,34.1912,-118.38482,1.924,1.053,1.283,0.702,,
8017,34.01037,-118.42183,1.924,1.059,1.283,0.706,,
8063,34.01038,-118.42248,1.924,1.059,1.283,0.706,,
8073,34.0103,-118.42262,1.924,1.059,1.283,0.706,,
8885,34.00914,-118.43725,1.924,1.06,1.282,0.707,,
4303,34.0065,-118.34137,1.925,1.046,1.283,0.697,,
6324,34.19121,-118.38418,1.925,1.057,1.283,0.704,,
6465,34.18329,-118.38761,1.925,1.031,1.283,0.687,,
6565,34.18988,-118.39142,1.925,1.026,1.283,0.684,,
8257,34.01007,-118.42651,1.925,1.06,1.283,0.706,,
8286,34.01003,-118.42727,1.925,1.06,1.283,0.707,,
8287,34.01003,-118.42727,1.925,1.06,1.283,0.707,,
11559,34.21412,-118.53557,1.925,0.929,1.283,0.62,,
6305,34.19121,-118.38378,1.926,1.058,1.284,0.706,,
3757,34.00383,-118.32208,1.927,1.041,1.285,0.694,,
3810,34.00397,-118.3234,1.927,1.041,1.284,0.694,,
4306,34.00683,-118.34153,1.927,1.047,1.284,0.698,,
6323,34.19135,-118.38418,1.927,1.058,1.285,0.705,,
8011,34.01085,-118.42163,1.927,1.061,1.285,0.707,,
2650,34.00164,-118.30374,1.928,1.036,1.285,0.691,,
6302,34.19135,-118.38374,1.928,1.06,1.285,0.707,,
8925,34.00974,-118.43771,1.928,1.063,1.286,0.709,,
8968,34.00959,-118.43833,1.928,1.063,1.285,0.709,,
3230,34.00344,-118.31169,1.929,1.041,1.286,0.694,,
6547,34.1879,-118.39078,1.929,1.028,1.286,0.685,,
12052,34.16805,-118.6179,1.929,1.031,1.286,0.687,,
6301,34.19149,-118.38374,1.93,1.062,1.287,0.708,,
8254,34.01078,-118.42633,1.93,1.063,1.286,0.708,,
11703,34.18007,-118.54937,1.93,1.012,1.287,0.675,,
11704,34.18007,-118.54937,1.93,1.012,1.287,0.675,,
6274,34.17603,-118.38305,1.931,1.015,1.287,0.677,,
8269,34.01088,-118.42686,1.931,1.063,1.287,0.709,,
8271,34.011,-118.42696,1.931,1.064,1.288,0.709,,
8948,34.01008,-118.43797,1.931,1.065,1.287,0.71,,
11748,34.2206,-118.56825,1.931,0.93,1.288,0.62,,
8274,34.01111,-118.42704,1.932,1.064,1.288,0.71,,
3590,34.01024,-118.31897,1.933,1.059,1.289,0.706,,
3987,34.00604,-118.3294,1.933,1.046,1.289,0.697,,
4264,34.00784,-118.33985,1.933,1.05,1.289,0.7,,
5037,34.18376,-118.36127,1.933,1.065,1.289,0.71,,
5606,34.17534,-118.37441,1.933,0.992,1.289,0.661,,
8280,34.01123,-118.42713,1.933,1.065,1.289,0.71,,
11746,34.22065,-118.56792,1.933,0.93,1.289,0.62,,
3070,34.00383,-118.30959,1.934,1.042,1.289,0.695,,
6300,34.19176,-118.38374,1.934,1.065,1.29,0.71,,
11744,34.22065,-118.56759,1.934,0.931,1.289,0.621,,
6237,34.1755,-118.38255,1.935,1.013,1.29,0.676,,
6458,34.17972,-118.38744,1.935,1.032,1.29,0.688,,
8288,34.01146,-118.42732,1.935,1.066,1.29,0.711,,
11742,34.22063,-118.567,1.935,0.931,1.29,0.621,,
2981,34.00352,-118.30796,1.936,1.041,1.291,0.694,,
4260,34.0084,-118.33966,1.936,1.051,1.291,0.701,,
4275,34.00836,-118.34018,1.936,1.051,1.291,0.701,,
5001,34.18375,-118.3607,1.936,1.067,1.29,0.712,,
5824,34.17465,-118.37819,1.936,0.996,1.29,0.664,,
6279,34.19176,-118.38309,1.936,1.068,1.291,0.712,,
8291,34.01157,-118.42741,1.936,1.067,1.291,0.711,,
11581,34.21506,-118.53662,1.936,0.935,1.291,0.623,,
4282,34.0086,-118.34052,1.937,1.051,1.291,0.701,,
4285,34.0088,-118.34074,1.937,1.052,1.292,0.701,,
6152,34.19163,-118.38155,1.937,1.074,1.292,0.716,,
8293,34.01169,-118.4275,1.937,1.067,1.291,0.711,,
8297,34.01179,-118.42758,1.937,1.068,1.292,0.712,,
4033,34.00725,-118.33114,1.938,1.049,1.292,0.699,,
4262,34.00871,-118.33976,1.938,1.052,1.292,0.701,,
4371,34.00939,-118.34317,1.938,1.053,1.292,0.702,,
5603,34.17512,-118.37435,1.938,0.992,1.292,0.661,,
5960,34.17428,-118.37958,1.938,0.999,1.292,0.666,,
7973,34.01242,-118.42048,1.938,1.067,1.292,0.711,,
4032,34.00747,-118.33113,1.939,1.05,1.293,0.7,,
4312,34.00933,-118.34176,1.939,1.053,1.293,0.702,,
4363,34.00952,-118.34304,1.939,1.053,1.293,0.702,,
5422,34.17565,-118.36994,1.939,0.989,1.293,0.659,,
6438,34.1928,-118.38694,1.939,1.061,1.293,0.707,,
7968,34.01268,-118.42033,1.939,1.068,1.293,0.712,,
11289,34.19391,-118.49483,1.939,1.01,1.293,0.673,,
4263,34.00908,-118.33984,1.94,1.053,1.293,0.702,,
4268,34.00923,-118.33997,1.94,1.053,1.294,0.702,,
4294,34.00931,-118.34092,1.94,1.053,1.293,0.702,,
4358,34.00965,-118.34291,1.94,1.054,1.293,0.702,,
8324,34.01209,-118.42822,1.94,1.069,1.293,0.713,,
8325,34.01209,-118.42822,1.94,1.069,1.293,0.713,,
11928,34.22667,-118.59895,1.94,0.938,1.294,0.625,,
1279,33.99686,-118.28313,1.941,1.038,1.294,0.692,,
3909,34.00688,-118.32551,1.941,1.049,1.294,0.699,,
4162,34.0082,-118.33392,1.941,1.051,1.294,0.701,,
4289,34.00952,-118.34079,1.941,1.054,1.294,0.702,,
5317,34.18634,-118.36673,1.941,1.074,1.294,0.716,,
11588,34.21541,-118.53676,1.941,0.937,1.294,0.624,,
3027,34.00461,-118.30857,1.942,1.044,1.295,0.696,,
4278,34.00963,-118.34028,1.942,1.054,1.295,0.703,,
6182,34.17477,-118.38189,1.942,1.011,1.295,0.674,,
6417,34.19285,-118.3863,1.942,1.065,1.295,0.71,,
997,33.99419,-118.27546,1.943,1.038,1.296,0.692,,
3822,34.00694,-118.32374,1.943,1.049,1.295,0.699,,
3935,34.00738,-118.32676,1.943,1.05,1.295,0.7,,
4182,34.00874,-118.33437,1.943,1.053,1.295,0.702,,
5208,34.17666,-118.36408,1.943,1.008,1.296,0.672,,
5301,34.18634,-118.36627,1.943,1.076,1.296,0.717,,
6374,34.19268,-118.38525,1.943,1.068,1.296,0.712,,
6561,34.18696,-118.3913,1.943,1.035,1.295,0.69,,
11311,34.18901,-118.50075,1.943,1.019,1.295,0.68,,
4305,34.01015,-118.34151,1.944,1.055,1.296,0.703,,
4352,34.01054,-118.34279,1.944,1.056,1.296,0.704,,
4668,34.01212,-118.35073,1.944,1.058,1.296,0.706,,
4680,34.01211,-118.35092,1.944,1.058,1.296,0.706,,
4697,34.0121,-118.35122,1.944,1.058,1.296,0.706,,
5830,34.1742,-118.37829,1.944,0.998,1.296,0.665,,
6526,34.19425,-118.38981,1.944,1.061,1.296,0.708,,
6548,34.19365,-118.39088,1.944,1.055,1.296,0.704,,
9029,34.01176,-118.43928,1.944,1.073,1.296,0.715,,
4088,34.00875,-118.33228,1.945,1.053,1.297,0.702,,
4611,34.01199,-118.34938,1.945,1.058,1.296,0.705,,
4616,34.0122,-118.34959,1.945,1.059,1.297,0.706,,
4655,34.01215,-118.35049,1.945,1.058,1.296,0.706,,
5104,34.18493,-118.36236,1.945,1.075,1.296,0.717,,
5181,34.17672,-118.36346,1.945,1.01,1.297,0.673,,
5636,34.17472,-118.3749,1.945,0.993,1.297,0.662,,
7856,34.01375,-118.41745,1.945,1.071,1.297,0.714,,
11280,34.19473,-118.49266,1.945,1.013,1.297,0.676,,
3927,34.0078,-118.32622,1.946,1.051,1.297,0.701,,
4602,34.0122,-118.3492,1.946,1.059,1.297,0.706,,
4660,34.01255,-118.35055,1.946,1.059,1.298,0.706,,
4689,34.01255,-118.35102,1.946,1.059,1.298,0.706,,
6397,34.19302,-118.3859,1.946,1.069,1.297,0.713,,
6508,34.19426,-118.38922,1.946,1.065,1.298,0.71,,
7842,34.01397,-118.41698,1.946,1.072,1.297,0.715,,
11836,34.2252,-118.5891,1.946,0.937,1.297,0.625,,
4592,34.01247,-118.34898,1.947,1.059,1.298,0.706,,
4597,34.01233,-118.34909,1.947,1.059,1.298,0.706,,
4638,34.01264,-118.35017,1.947,1.06,1.298,0.706,,
4733,34.01274,-118.35165,1.947,1.06,1.298,0.707,,
4758,34.01275,-118.35214,1.947,1.06,1.298,0.707,,
6517,34.19451,-118.38967,1.947,1.065,1.298,0.71,,
6571,34.18697,-118.39153,1.947,1.036,1.298,0.691,,
9016,34.01216,-118.43909,1.947,1.074,1.298,0.716,,
9033,34.0121,-118.43933,1.947,1.074,1.298,0.716,,
11281,34.1946,-118.49266,1.947,1.014,1.298,0.676,,
11604,34.21593,-118.53736,1.947,0.939,1.298,0.626,,
3952,34.00845,-118.32763,1.948,1.053,1.299,0.702,,
4588,34.0126,-118.34887,1.948,1.06,1.299,0.707,,
4634,34.01291,-118.35001,1.948,1.06,1.299,0.707,,
4829,34.0131,-118.35332,1.948,1.061,1.299,0.707,,
6437,34.19349,-118.38694,1.948,1.069,1.299,0.712,,
7798,34.01436,-118.4155,1.948,1.073,1.299,0.715,,
7864,34.0141,-118.41773,1.948,1.073,1.298,0.715,,
4584,34.01273,-118.34875,1.949,1.06,1.299,0.707,,
4657,34.01312,-118.35052,1.949,1.061,1.3,0.707,,
4679,34.01319,-118.3509,1.949,1.061,1.3,0.707,,
4701,34.01303,-118.35126,1.949,1.061,1.299,0.707,,
4772,34.01327,-118.35242,1.949,1.061,1.299,0.707,,
4841,34.01339,-118.35388,1.949,1.061,1.3,0.708,,
6153,34.17426,-118.38156,1.949,1.011,1.299,0.674,,
6516,34.19469,-118.38967,1.949,1.067,1.299,0.711,,
7851,34.01439,-118.41728,1.949,1.074,1.3,0.716,,
7866,34.01424,-118.41784,1.949,1.074,1.299,0.716,,
9020,34.01239,-118.43917,1.949,1.076,1.299,0.717,,
9079,34.01234,-118.43966,1.949,1.076,1.299,0.717,,
12045,34.17289,-118.6066,1.949,1.039,1.3,0.693,,
4568,34.01286,-118.34863,1.95,1.06,1.3,0.707,,
4591,34.01297,-118.34895,1.95,1.061,1.3,0.707,,
4620,34.01321,-118.34982,1.95,1.061,1.3,0.707,,
6098,34.17389,-118.38076,1.95,1.006,1.3,0.671,,
6567,34.18637,-118.39149,1.95,1.038,1.3,0.692,,
7836,34.01457,-118.41684,1.95,1.074,1.3,0.716,,
7870,34.01438,-118.41794,1.95,1.074,1.3,0.716,,
12008,34.22857,-118.60309,1.95,0.941,1.3,0.627,,
4605,34.01334,-118.34925,1.951,1.061,1.301,0.708,,
4653,34.01346,-118.35041,1.951,1.062,1.301,0.708,,
4699,34.01355,-118.35123,1.951,1.062,1.301,0.708,,
4726,34.01361,-118.35155,1.951,1.062,1.301,0.708,,
4769,34.01366,-118.35239,1.951,1.062,1.301,0.708,,
4790,34.01357,-118.35273,1.951,1.062,1.3,0.708,,
4809,34.01359,-118.3532,1.951,1.062,1.3,0.708,,
6515,34.19483,-118.38955,1.951,1.069,1.3,0.713,,
7757,34.01496,-118.41435,1.951,1.075,1.301,0.717,,
7814,34.01475,-118.41621,1.951,1.075,1.301,0.717,,
7855,34.01459,-118.41744,1.951,1.075,1.301,0.717,,
9054,34.01266,-118.43952,1.951,1.077,1.301,0.718,,
9089,34.01271,-118.43986,1.951,1.077,1.301,0.718,,
11242,34.19964,-118.48268,1.951,1.021,1.301,0.681,,
4570,34.01326,-118.34866,1.952,1.061,1.301,0.708,,
4678,34.01375,-118.35088,1.952,1.062,1.301,0.708,,
4728,34.01377,-118.35156,1.952,1.062,1.301,0.708,,
4768,34.01385,-118.35239,1.952,1.063,1.301,0.708,,
4788,34.0139,-118.35272,1.952,1.063,1.301,0.708,,
4813,34.01393,-118.35323,1.952,1.063,1.301,0.709,,
6520,34.19501,-118.38969,1.952,1.07,1.301,0.713,,
7816,34.01487,-118.4163,1.952,1.075,1.301,0.717,,
7907,34.01459,-118.41893,1.952,1.076,1.301,0.717,,
11239,34.19981,-118.48219,1.952,1.022,1.301,0.681,,
11929,34.17722,-118.59911,1.952,1.022,1.301,0.681,,
4617,34.0137,-118.34973,1.953,1.062,1.302,0.708,,
4652,34.01391,-118.35041,1.953,1.063,1.302,0.708,,
4727,34.01403,-118.35156,1.953,1.063,1.302,0.709,,
4757,34.01409,-118.35212,1.953,1.063,1.302,0.709,,
4817,34.0141,-118.35324,1.953,1.063,1.302,0.709,,
4839,34.01409,-118.3538,1.953,1.063,1.302,0.709,,
9103,34.01284,-118.44015,1.953,1.078,1.302,0.719,,
11837,34.22568,-118.58916,1.953,0.94,1.302,0.627,,
11979,34.22857,-118.60252,1.953,0.942,1.302,0.628,,
1574,34.00148,-118.28812,1.954,1.045,1.302,0.697,,
4677,34.01412,-118.35088,1.954,1.063,1.303,0.709,,
4816,34.01426,-118.35324,1.954,1.064,1.303,0.709,,
4844,34.01433,-118.3539,1.954,1.064,1.303,0.709,,
6573,34.19423,-118.3916,1.954,1.061,1.303,0.707,,
7828,34.01521,-118.41657,1.954,1.077,1.303,0.718,,
11865,34.2261,-118.59108,1.954,0.941,1.303,0.628,,
3800,34.00978,-118.32327,1.955,1.057,1.303,0.705,,
4729,34.01441,-118.35157,1.955,1.064,1.303,0.709,,
4814,34.01459,-118.35324,1.955,1.064,1.304,0.71,,
4815,34.01443,-118.35324,1.955,1.064,1.303,0.709,,
6003,34.19234,-118.37983,1.955,1.092,1.304,0.728,,
7852,34.01515,-118.41729,1.955,1.077,1.303,0.718,,
7853,34.01526,-118.41738,1.955,1.078,1.304,0.718,,
9098,34.01315,-118.44,1.955,1.079,1.303,0.719,,
9126,34.01318,-118.44034,1.955,1.08,1.303,0.72,,
11241,34.19954,-118.48246,1.955,1.023,1.303,0.682,,
11590,34.21635,-118.53684,1.955,0.943,1.303,0.628,,
11957,34.2285,-118.60185,1.955,0.943,1.304,0.629,,
4651,34.01461,-118.35039,1.956,1.064,1.304,0.71,,
4753,34.01455,-118.35208,1.956,1.064,1.304,0.71,,
4774,34.01456,-118.35244,1.956,1.064,1.304,0.71,,
4783,34.01473,-118.35264,1.956,1.065,1.304,0.71,,
4812,34.01475,-118.35322,1.956,1.065,1.304,0.71,,
4835,34.01482,-118.35359,1.956,1.065,1.304,0.71,,
5453,34.17483,-118.37072,1.956,0.989,1.304,0.66,,
6564,34.19472,-118.39142,1.956,1.065,1.304,0.71,,
7713,34.01574,-118.414,1.956,1.078,1.304,0.719,,
7857,34.01535,-118.4175,1.956,1.078,1.304,0.719,,
11237,34.19981,-118.48168,1.956,1.024,1.304,0.683,,
2405,34.00589,-118.30052,1.957,1.049,1.305,0.699,,
4341,34.01291,-118.34252,1.957,1.062,1.304,0.708,,
4675,34.01473,-118.35082,1.957,1.065,1.305,0.71,,
4723,34.01484,-118.35151,1.957,1.065,1.305,0.71,,
4863,34.01508,-118.35441,1.957,1.066,1.305,0.71,,
4901,34.01502,-118.35512,1.957,1.066,1.305,0.71,,
5554,34.17442,-118.37334,1.957,0.992,1.305,0.661,,
11936,34.17677,-118.59973,1.957,1.024,1.305,0.683,,
1224,34.00045,-118.2823,1.958,1.046,1.305,0.697,,
2615,34.00637,-118.30316,1.958,1.05,1.305,0.7,,
4721,34.01502,-118.35149,1.958,1.065,1.305,0.71,,
4819,34.01518,-118.35325,1.958,1.066,1.306,0.711,,
4843,34.01509,-118.35389,1.958,1.066,1.305,0.71,,
4845,34.01525,-118.35391,1.958,1.066,1.306,0.711,,
4861,34.01524,-118.35439,1.958,1.066,1.305,0.711,,
5185,34.18627,-118.36352,1.958,1.086,1.305,0.724,,
6327,34.19345,-118.3842,1.958,1.083,1.306,0.722,,
7782,34.01582,-118.41513,1.958,1.079,1.305,0.719,,
7839,34.01567,-118.41693,1.958,1.079,1.305,0.719,,
7922,34.01549,-118.41927,1.958,1.08,1.305,0.72,,
11279,34.19391,-118.49238,1.958,1.021,1.306,0.681,,
11985,34.22901,-118.60278,1.958,0.944,1.305,0.629,,
1523,34.00211,-118.28735,1.959,1.048,1.306,0.698,,
4422,34.01396,-118.34469,1.959,1.064,1.306,0.709,,
4642,34.01511,-118.35023,1.959,1.066,1.306,0.71,,
4671,34.01507,-118.35074,1.959,1.065,1.306,0.71,,
4720,34.0152,-118.35145,1.959,1.066,1.306,0.711,,
4792,34.01526,-118.35277,1.959,1.066,1.306,0.711,,
4822,34.01541,-118.35326,1.959,1.066,1.306,0.711,,
4895,34.01539,-118.35508,1.959,1.067,1.306,0.711,,
5454,34.17469,-118.37072,1.959,0.989,1.306,0.66,,
6183,34.17378,-118.38189,1.959,1.015,1.306,0.676,,
7845,34.01579,-118.41702,1.959,1.08,1.306,0.72,,
7928,34.01563,-118.41937,1.959,1.08,1.306,0.72,,
7946,34.01552,-118.41967,1.959,1.08,1.306,0.72,,
1955,34.00425,-118.29406,1.96,1.049,1.307,0.699,,
4347,34.01353,-118.34268,1.96,1.063,1.306,0.709,,
4379,34.01376,-118.34343,1.96,1.064,1.307,0.709,,
4429,34.01403,-118.34488,1.96,1.064,1.306,0.709,,
4594,34.01512,-118.34901,1.96,1.066,1.307,0.711,,
4706,34.01539,-118.35141,1.96,1.066,1.307,0.711,,
4771,34.0154,-118.35242,1.96,1.066,1.306,0.711,,
4860,34.0155,-118.35439,1.96,1.067,1.306,0.711,,
4900,34.0156,-118.35511,1.96,1.067,1.307,0.711,,
